256,0.357771,1000
58,0,0.0442143,0.0535508
58,0,0.0694965,0.0558313
58,0,0.0123743,0.0629021
58,0,0.0682982,0.0684541
58,0,0.0813489,0.0786035
58,0,0.0333522,0.0866833
58,0,0.0598908,0.0808784
60,0,0.0393738,0.0070307
60,0,0.0654332,0.00417761
60,0,0.0806776,0.00316911
60,0,0.018857,0.0159369
60,0,0.00873996,0.0249457
60,0,0.0289651,0.0382295
60,0,0.0877248,0.0432427
60,0,0.0215413,0.0533029
60,0,0.0443069,0.0545494
60,0,0.0689901,0.0555794
60,0,0.0118869,0.0629405
60,0,0.0677505,0.0679118
60,0,0.0810358,0.077613
60,0,0.0332089,0.0870152
60,0,0.0603661,0.0807537
62,0,0.0394929,0.00640755
62,0,0.065119,0.00503372
62,0,0.0809515,0.00396093
62,0,0.0181998,0.015318
62,0,0.0097328,0.0243742
62,0,0.0281819,0.0381222
62,0,0.0871414,0.0432812
62,0,0.0210818,0.052379
62,0,0.0443996,0.055548
62,0,0.0684837,0.0553275
62,0,0.0113995,0.0629789
62,0,0.0672028,0.0673695
62,0,0.0807228,0.0766224
62,0,0.0322772,0.0870418
62,0,0.0608414,0.0806289
64,0,0.039612,0.0057844
64,0,0.0648048,0.00588982
64,0,0.0812254,0.00475274
64,0,0.0175426,0.014699
64,0,0.0107256,0.0238027
64,0,0.0273987,0.0380148
64,0,0.086558,0.0433196
64,0,0.0206223,0.051455
64,0,0.0444923,0.0565465
64,0,0.0679773,0.0550756
64,0,0.0109121,0.0630174
64,0,0.0666551,0.0668271
64,0,0.0804097,0.0756319
64,0,0.0312203,0.0870182
64,0,0.0613167,0.0805041
66,0,0.0397311,0.00516126
66,0,0.0644906,0.00674592
66,0,0.0814994,0.00554455
66,0,0.0168854,0.0140801
66,0,0.0117185,0.0232312
66,0,0.0266155,0.0379075
66,0,0.0859746,0.043358
66,0,0.0201628,0.050531
66,0,0.0445849,0.0575451
66,0,0.067471,0.0548237
66,0,0.0104246,0.0630558
66,0,0.0661074,0.0662848
66,0,0.0800966,0.0746414
66,0,0.0301635,0.0869945
66,0,0.061792,0.0803793
68,0,0.0398502,0.00453811
68,0,0.0641765,0.00760202
68,0,0.0817733,0.00633636
68,0,0.0162282,0.0134612
68,0,0.0127113,0.0226597
68,0,0.0258322,0.0378001
68,0,0.0197032,0.049607
68,0,0.0853912,0.0433964
68,0,0.0446776,0.0585437
68,0,0.0669646,0.0545718
68,0,0.00993723,0.0630942
68,0,0.0655597,0.0657425
68,0,0.0797836,0.0736509
68,0,0.0291066,0.0869709
68,0,0.0622673,0.0802546
68,0,0.0730061,0.0889318
70,0,0.0399693,0.00391496
70,0,0.0638623,0.00845812
70,0,0.0820473,0.00712818
70,0,0.0156225,0.0126885
70,0,0.0136526,0.022242
70,0,0.025049,0.0376928
70,0,0.0192437,0.048683
70,0,0.0848078,0.0434348
70,0,0.0447703,0.0595423
70,0,0.0664582,0.05432
70,0,0.00944981,0.0631326
70,0,0.065012,0.0652002
70,0,0.0794705,0.0726604
70,0,0.0280497,0.0869472
70,0,0.0627427,0.0801298
70,0,0.0729441,0.0877237
70,0,0.0897335,0.0880371
72,0,0.0400884,0.00329182
72,0,0.0635481,0.00931422
72,0,0.0823212,0.00791999
72,0,0.0150665,0.0117089
72,0,0.0145443,0.0220311
72,0,0.0242658,0.0375854
72,0,0.0187842,0.0477591
72,0,0.0842244,0.0434732
72,0,0.0659518,0.0540681
72,0,0.00896239,0.063171
72,0,0.044863,0.0605409
72,0,0.0644643,0.0646579
72,0,0.0632199,0.0799963
72,0,0.0791574,0.0716699
72,0,0.0269929,0.0869236
72,0,0.0603851,0.0894156
72,0,0.0728821,0.0865155
72,0,0.0894948,0.0878641
74,0,0.0402075,0.00266867
74,0,0.0825952,0.0087118
74,0,0.0145104,0.0107293
74,0,0.063234,0.0101703
74,0,0.015436,0.0218202
74,0,0.0234826,0.0374781
74,0,0.0183247,0.0468351
74,0,0.083641,0.0435116
74,0,0.0654455,0.0538162
74,0,0.00847496,0.0632095
74,0,0.0449556,0.0615394
74,0,0.0639166,0.0641155
74,0,0.0637382,0.0797346
74,0,0.0788444,0.0706793
74,0,0.025936,0.0868999
74,0,0.059588,0.0888018
74,0,0.0728201,0.0853073
74,0,0.0892562,0.0876912
76,0,0.0139544,0.00974977
76,0,0.0403266,0.00204552
76,0,0.0828691,0.00950361
